Datum,Uhrzeit,Unternehmen,Kurs_EUR
2025-06-17,09:00:00,Rheinmetall_AG,1704.0
2025-06-17,09:30:00,Rheinmetall_AG,1721.0
2025-06-17,10:00:00,Rheinmetall_AG,1706.0
2025-06-17,10:30:00,Rheinmetall_AG,1709.0
2025-06-17,11:00:00,Rheinmetall_AG,1717.0
2025-06-17,11:30:00,Rheinmetall_AG,1728.5
2025-06-17,12:00:00,Rheinmetall_AG,1742.5
2025-06-17,12:30:00,Rheinmetall_AG,1752.0
2025-06-17,13:00:00,Rheinmetall_AG,1754.0
2025-06-17,13:30:00,Rheinmetall_AG,1746.0
2025-06-17,14:00:00,Rheinmetall_AG,1729.5
2025-06-17,14:30:00,Rheinmetall_AG,1732.0
2025-06-17,15:00:00,Rheinmetall_AG,1745.0
2025-06-17,15:30:00,Rheinmetall_AG,1742.5
2025-06-17,16:00:00,Rheinmetall_AG,1745.5
2025-06-17,16:30:00,Rheinmetall_AG,1741.5
2025-06-17,17:00:00,Rheinmetall_AG,1733.0
2025-06-20,09:00:00,Rheinmetall_AG,1740.0
2025-06-20,09:30:00,Rheinmetall_AG,1736.5
2025-06-20,10:00:00,Rheinmetall_AG,1732.5
2025-06-20,10:30:00,Rheinmetall_AG,1724.0
2025-06-20,11:00:00,Rheinmetall_AG,1728.5
2025-06-20,11:30:00,Rheinmetall_AG,1726.5
2025-06-20,12:00:00,Rheinmetall_AG,1726.0
2025-06-20,12:30:00,Rheinmetall_AG,1721.0
2025-06-20,13:00:00,Rheinmetall_AG,1727.5
2025-06-20,13:30:00,Rheinmetall_AG,1730.5
2025-06-20,14:00:00,Rheinmetall_AG,1731.5
2025-06-20,14:30:00,Rheinmetall_AG,1725.0
2025-06-20,15:00:00,Rheinmetall_AG,1734.5
2025-06-20,15:30:00,Rheinmetall_AG,1735.0
2025-06-20,16:00:00,Rheinmetall_AG,1733.0
2025-06-20,16:30:00,Rheinmetall_AG,1738.5
2025-06-20,17:00:00,Rheinmetall_AG,1738.5
