Datum,Uhrzeit,Unternehmen,Kurs_EUR
2025-06-17,09:00:00,Siemens_AG,212.9499969482422
2025-06-17,09:30:00,Siemens_AG,214.1499938964844
2025-06-17,10:00:00,Siemens_AG,214.9499969482422
2025-06-17,10:30:00,Siemens_AG,215.1499938964844
2025-06-17,11:00:00,Siemens_AG,213.9499969482422
2025-06-17,11:30:00,Siemens_AG,213.8999938964844
2025-06-17,12:00:00,Siemens_AG,213.4499969482422
2025-06-17,12:30:00,Siemens_AG,213.8999938964844
2025-06-17,13:00:00,Siemens_AG,214.3999938964844
2025-06-17,13:30:00,Siemens_AG,215.0500030517578
2025-06-17,14:00:00,Siemens_AG,214.8999938964844
2025-06-17,14:30:00,Siemens_AG,214.8999938964844
2025-06-17,15:00:00,Siemens_AG,214.6999969482422
2025-06-17,15:30:00,Siemens_AG,215.25
2025-06-17,16:00:00,Siemens_AG,214.6999969482422
2025-06-17,16:30:00,Siemens_AG,214.5
2025-06-17,17:00:00,Siemens_AG,214.5
2025-06-20,09:00:00,Siemens_AG,210.6999969482422
2025-06-20,09:30:00,Siemens_AG,211.1499938964844
2025-06-20,10:00:00,Siemens_AG,210.6499938964844
2025-06-20,10:30:00,Siemens_AG,209.8500061035156
2025-06-20,11:00:00,Siemens_AG,209.8500061035156
2025-06-20,11:30:00,Siemens_AG,210.3500061035156
2025-06-20,12:00:00,Siemens_AG,209.75
2025-06-20,12:30:00,Siemens_AG,210.3999938964844
2025-06-20,13:00:00,Siemens_AG,211.0
2025-06-20,13:30:00,Siemens_AG,211.25
2025-06-20,14:00:00,Siemens_AG,211.9499969482422
2025-06-20,14:30:00,Siemens_AG,211.3500061035156
2025-06-20,15:00:00,Siemens_AG,211.6000061035156
2025-06-20,15:30:00,Siemens_AG,211.3000030517578
2025-06-20,16:00:00,Siemens_AG,210.1999969482422
2025-06-20,16:30:00,Siemens_AG,209.8999938964844
2025-06-20,17:00:00,Siemens_AG,209.8500061035156
2025-06-23,09:00:00,Siemens_AG,210.3999938964844
2025-06-23,09:30:00,Siemens_AG,210.25
2025-06-23,10:00:00,Siemens_AG,209.75
2025-06-23,10:30:00,Siemens_AG,209.4499969482422
2025-06-23,11:00:00,Siemens_AG,209.1499938964844
2025-06-23,11:30:00,Siemens_AG,209.1999969482422
2025-06-23,12:00:00,Siemens_AG,209.0500030517578
2025-06-23,12:30:00,Siemens_AG,208.8500061035156
2025-06-23,13:00:00,Siemens_AG,207.8999938964844
2025-06-23,13:30:00,Siemens_AG,208.1000061035156
2025-06-23,14:00:00,Siemens_AG,208.3500061035156
2025-06-23,14:30:00,Siemens_AG,208.75
2025-06-23,15:00:00,Siemens_AG,208.0500030517578
2025-06-23,15:30:00,Siemens_AG,208.1000061035156
2025-06-23,16:00:00,Siemens_AG,208.25
2025-06-23,16:30:00,Siemens_AG,208.1499938964844
2025-06-23,17:00:00,Siemens_AG,208.4499969482422
2025-06-24,09:00:00,Siemens_AG,215.0500030517578
2025-06-24,09:30:00,Siemens_AG,214.60000610351562
2025-06-24,10:00:00,Siemens_AG,215.0
2025-06-24,10:30:00,Siemens_AG,214.9499969482422
2025-06-24,11:00:00,Siemens_AG,215.5
2025-06-24,11:30:00,Siemens_AG,215.0
2025-06-24,12:00:00,Siemens_AG,213.9499969482422
2025-06-24,12:30:00,Siemens_AG,214.1999969482422
2025-06-24,13:00:00,Siemens_AG,213.89999389648438
2025-06-24,13:30:00,Siemens_AG,213.5500030517578
2025-06-24,14:00:00,Siemens_AG,213.89999389648438
2025-06-24,14:30:00,Siemens_AG,213.85000610351562
2025-06-24,15:00:00,Siemens_AG,213.8000030517578
2025-06-24,15:30:00,Siemens_AG,214.1999969482422
2025-06-24,16:00:00,Siemens_AG,213.9499969482422
2025-06-24,16:30:00,Siemens_AG,214.1999969482422
2025-06-24,17:00:00,Siemens_AG,214.5
