Datum,Uhrzeit,Unternehmen,Kurs_EUR
2025-06-17,09:00:00,Allianz_SE,338.1000061035156
2025-06-17,09:30:00,Allianz_SE,338.5
2025-06-17,10:00:00,Allianz_SE,339.1000061035156
2025-06-17,10:30:00,Allianz_SE,339.29998779296875
2025-06-17,11:00:00,Allianz_SE,338.70001220703125
2025-06-17,11:30:00,Allianz_SE,338.8999938964844
2025-06-17,12:00:00,Allianz_SE,339.5
2025-06-17,12:30:00,Allianz_SE,340.0
2025-06-17,13:00:00,Allianz_SE,340.79998779296875
2025-06-17,13:30:00,Allianz_SE,341.3999938964844
2025-06-17,14:00:00,Allianz_SE,340.70001220703125
2025-06-17,14:30:00,Allianz_SE,340.79998779296875
2025-06-17,15:00:00,Allianz_SE,340.0
2025-06-17,15:30:00,Allianz_SE,339.6000061035156
2025-06-17,16:00:00,Allianz_SE,339.1000061035156
2025-06-17,16:30:00,Allianz_SE,339.3999938964844
2025-06-17,17:00:00,Allianz_SE,339.3999938964844
2025-06-20,09:00:00,Allianz_SE,336.20001220703125
2025-06-20,09:30:00,Allianz_SE,336.8999938964844
2025-06-20,10:00:00,Allianz_SE,337.20001220703125
2025-06-20,10:30:00,Allianz_SE,336.29998779296875
2025-06-20,11:00:00,Allianz_SE,337.1000061035156
2025-06-20,11:30:00,Allianz_SE,338.5
2025-06-20,12:00:00,Allianz_SE,338.1000061035156
2025-06-20,12:30:00,Allianz_SE,338.3999938964844
2025-06-20,13:00:00,Allianz_SE,338.1000061035156
2025-06-20,13:30:00,Allianz_SE,339.1000061035156
2025-06-20,14:00:00,Allianz_SE,339.6000061035156
2025-06-20,14:30:00,Allianz_SE,338.8999938964844
2025-06-20,15:00:00,Allianz_SE,338.79998779296875
2025-06-20,15:30:00,Allianz_SE,338.8999938964844
2025-06-20,16:00:00,Allianz_SE,338.70001220703125
2025-06-20,16:30:00,Allianz_SE,338.8999938964844
2025-06-20,17:00:00,Allianz_SE,338.70001220703125
2025-06-23,09:00:00,Allianz_SE,338.79998779296875
2025-06-23,09:30:00,Allianz_SE,338.8999938964844
2025-06-23,10:00:00,Allianz_SE,339.8999938964844
2025-06-23,10:30:00,Allianz_SE,339.8999938964844
2025-06-23,11:00:00,Allianz_SE,338.70001220703125
2025-06-23,11:30:00,Allianz_SE,338.20001220703125
2025-06-23,12:00:00,Allianz_SE,338.3999938964844
2025-06-23,12:30:00,Allianz_SE,337.3999938964844
2025-06-23,13:00:00,Allianz_SE,337.29998779296875
2025-06-23,13:30:00,Allianz_SE,336.8999938964844
2025-06-23,14:00:00,Allianz_SE,337.20001220703125
2025-06-23,14:30:00,Allianz_SE,337.70001220703125
2025-06-23,15:00:00,Allianz_SE,336.29998779296875
2025-06-23,15:30:00,Allianz_SE,337.1000061035156
2025-06-23,16:00:00,Allianz_SE,336.70001220703125
2025-06-23,16:30:00,Allianz_SE,335.70001220703125
2025-06-23,17:00:00,Allianz_SE,335.8999938964844
2025-06-24,09:00:00,Allianz_SE,343.5
2025-06-24,09:30:00,Allianz_SE,342.6000061035156
2025-06-24,10:00:00,Allianz_SE,343.20001220703125
2025-06-24,10:30:00,Allianz_SE,342.79998779296875
2025-06-24,11:00:00,Allianz_SE,343.6000061035156
2025-06-24,11:30:00,Allianz_SE,342.79998779296875
2025-06-24,12:00:00,Allianz_SE,341.6000061035156
2025-06-24,12:30:00,Allianz_SE,341.20001220703125
2025-06-24,13:00:00,Allianz_SE,341.1000061035156
2025-06-24,13:30:00,Allianz_SE,340.79998779296875
2025-06-24,14:00:00,Allianz_SE,340.70001220703125
2025-06-24,14:30:00,Allianz_SE,341.1000061035156
2025-06-24,15:00:00,Allianz_SE,341.70001220703125
2025-06-24,15:30:00,Allianz_SE,340.8999938964844
2025-06-24,16:00:00,Allianz_SE,341.5
2025-06-24,16:30:00,Allianz_SE,341.0
2025-06-24,17:00:00,Allianz_SE,341.0
2025-06-25,09:00:00,Allianz_SE,341.79998779296875
2025-06-25,09:30:00,Allianz_SE,341.20001220703125
2025-06-25,10:00:00,Allianz_SE,340.3999938964844
2025-06-25,10:30:00,Allianz_SE,340.70001220703125
2025-06-25,11:00:00,Allianz_SE,340.5
2025-06-25,11:30:00,Allianz_SE,338.79998779296875
2025-06-25,12:00:00,Allianz_SE,339.70001220703125
2025-06-25,12:30:00,Allianz_SE,339.3999938964844
2025-06-25,13:00:00,Allianz_SE,339.29998779296875
2025-06-25,13:30:00,Allianz_SE,340.0
2025-06-25,14:00:00,Allianz_SE,339.1000061035156
2025-06-25,14:30:00,Allianz_SE,339.5
2025-06-25,15:00:00,Allianz_SE,339.8999938964844
2025-06-25,15:30:00,Allianz_SE,339.5
2025-06-25,16:00:00,Allianz_SE,339.5
2025-06-25,16:30:00,Allianz_SE,339.8999938964844
2025-06-25,17:00:00,Allianz_SE,339.79998779296875
